address,link,source,city,available,square_meters,bedrooms,price,lat,lon,postalcode,scrape_date
Dr. Julius Rontgenlaan 45 ,https://burgersdijk.com/huurwoningen/dr.-julius-rontgenlaan-45-bilthoven-7684393,BurgersDijk,BILTHOVEN,True,213.0,,2950.0,52.1368447,5.226598,,2024-02-28 20:46:54.789318
Queridostraat 15 ,https://burgersdijk.com/huurwoningen/queridostraat-15-utrecht-7434293,BurgersDijk,UTRECHT,True,70.0,,1650.0,52.0953353,5.0917922,,2024-02-28 20:46:54.790317
Korte Lauwerstraat 8 B,https://burgersdijk.com/huurwoningen/korte-lauwerstraat-8-utrecht-7527451,BurgersDijk,UTRECHT,False,50.0,,,52.0951888,5.1192388,,2024-02-28 20:46:54.790317
Groenlinglaan 116 ,https://burgersdijk.com/huurwoningen/groenlinglaan-116-bilthoven-7559383,BurgersDijk,BILTHOVEN,False,87.0,,,52.1282129,5.2117099,,2024-02-28 20:46:54.790317
Spreeuwlaan 86 ,https://burgersdijk.com/huurwoningen/spreeuwlaan-86-bilthoven-7549089,BurgersDijk,BILTHOVEN,False,87.0,,,52.1292471,5.210781,,2024-02-28 20:46:54.790317
Spreeuwlaan 114 ,https://burgersdijk.com/huurwoningen/spreeuwlaan-114-bilthoven-7548899,BurgersDijk,BILTHOVEN,False,106.0,,,52.1292464,5.2107798,,2024-02-28 20:46:54.791317
Kramsvogellaan 114 ,https://burgersdijk.com/huurwoningen/kramsvogellaan-114-bilthoven-7549005,BurgersDijk,BILTHOVEN,False,109.0,,,52.1287336,5.2113136,,2024-02-28 20:46:54.791317
Hamsteeg 17 A,https://burgersdijk.com/huurwoningen/hamsteeg-17-utrecht-7539801,BurgersDijk,UTRECHT,False,62.0,,,52.0912214,5.1165578,,2024-02-28 20:46:54.791317
Groenlinglaan 58 ,https://burgersdijk.com/huurwoningen/groenlinglaan-58-bilthoven-7508531,BurgersDijk,BILTHOVEN,False,87.0,,,52.1281226,5.2114328,,2024-02-28 20:46:54.791317
van Gheselhof 1 ,https://burgersdijk.com/huurwoningen/van-gheselhof-1-zeist-7309155,BurgersDijk,ZEIST,False,123.0,,,52.0850889,5.2392995,,2024-02-28 20:46:54.792317
de Lei 45 ,https://burgersdijk.com/huurwoningen/de-lei-45-driebergen-rijsenburg-7304035,BurgersDijk,DRIEBERGEN-RIJSENBURG,False,65.0,,,52.0530458,5.2827944,,2024-02-28 20:46:54.792317
Looydijk 96 A,https://burgersdijk.com/huurwoningen/looydijk-96-de-bilt-7025509,BurgersDijk,DE BILT,False,122.0,,,52.1088296,5.1829757,,2024-02-28 20:46:54.792317
Groenlinglaan 116 ,https://burgersdijk.com/huurwoningen/groenlinglaan-116-bilthoven-6973151,BurgersDijk,BILTHOVEN,False,86.0,,,52.1282129,5.2117099,,2024-02-28 20:46:54.792317
Acacialaan 7 ,https://burgersdijk.com/huurwoningen/acacialaan-7-bilthoven-6794524,BurgersDijk,BILTHOVEN,False,126.0,,,52.1288599,5.1889762,,2024-02-28 20:46:54.793317
Nieuw-Loosdrechtsedijk 105 A-02,https://www.funda.nl/huur/loosdrecht/huis-43498821-nieuw-loosdrechtsedijk-105-a-02/,Funda,Loosdrecht,True,104.0,,1995.0,,,1231 KN,2024-02-28 20:46:53.026096
Korenmolenweg 33,https://www.funda.nl/huur/bleiswijk/huis-43480032-korenmolenweg-33/,Funda,Bleiswijk,True,97.0,,2250.0,,,2665 CH,2024-02-28 20:46:53.026096
Mies van der Rohestraat 65,https://www.funda.nl/koop/hoofddorp/appartement-43463119-mies-van-der-rohestraat-65/,Funda,Hoofddorp,True,109.0,,3100.0,,,2132 HX,2024-02-28 20:46:53.026096
Bridgemankade 40,https://www.funda.nl/koop/hoofddorp/appartement-43469833-bridgemankade-40/,Funda,Hoofddorp,True,93.0,,2250.0,,,2132 HR,2024-02-28 20:46:53.026096
Mies van der Rohestraat 161,https://www.funda.nl/koop/hoofddorp/appartement-43454334-mies-van-der-rohestraat-161/,Funda,Hoofddorp,True,108.0,,3100.0,,,2132 HX,2024-02-28 20:46:53.027097
Schuitvlotstraat 30,https://www.funda.nl/koop/domburg/huis-42336648-schuitvlotstraat-30/,Funda,Domburg,True,103.0,,1250.0,,,4357 EB,2024-02-28 20:46:53.027097
Bridgemankade 20,https://www.funda.nl/koop/hoofddorp/appartement-42320768-bridgemankade-20/,Funda,Hoofddorp,True,93.0,,2600.0,,,2132 HR,2024-02-28 20:46:53.027097
Arnold Hoogvlietstraat 41,https://www.funda.nl/koop/vlaardingen/huis-42306840-arnold-hoogvlietstraat-41/,Funda,Vlaardingen,True,136.0,,1695.0,,,3134 CA,2024-02-28 20:46:53.028096
Senecalaan 112,https://www.funda.nl/koop/den-bosch/appartement-42370706-senecalaan-112/,Funda,Den Bosch,True,166.0,,1950.0,,,5216 CH,2024-02-28 20:46:53.028096
Haarlemmertrekvaart 31 *,https://www.funda.nl/huur/oegstgeest/huis-42377303-haarlemmertrekvaart-31/,Funda,Oegstgeest,True,491.0,,9500.0,,,2343 JC,2024-02-28 20:46:53.028096
Frederikshoeve 14,https://www.funda.nl/huur/hazerswoude-rijndijk/huis-42360169-frederikshoeve-14/,Funda,Hazerswoude-Rijndijk,True,159.0,,2650.0,,,2394 BX,2024-02-28 20:46:53.028096
Frederikshoeve 8,https://www.funda.nl/huur/hazerswoude-rijndijk/huis-42360040-frederikshoeve-8/,Funda,Hazerswoude-Rijndijk,True,166.0,,2750.0,,,2394 BX,2024-02-28 20:46:53.029097
Frederikshoeve 38,https://www.funda.nl/huur/hazerswoude-rijndijk/huis-42366299-frederikshoeve-38/,Funda,Hazerswoude-Rijndijk,True,159.0,,2650.0,,,2394 BX,2024-02-28 20:46:53.029097
Oud-Loosdrechtsedijk 131 ws09,https://www.funda.nl/huur/loosdrecht/huis-42212692-oud-loosdrechtsedijk-131-ws09/,Funda,Loosdrecht,True,184.0,,2500.0,,,1231 LT,2024-02-28 20:46:53.029097
Ebkreek 13,https://www.funda.nl/koop/spijkenisse/huis-42217445-ebkreek-13/,Funda,Spijkenisse,True,134.0,,1750.0,,,3206 HC,2024-02-28 20:46:53.029097
Rijksstraatweg 797,https://www.funda.nl/koop/wassenaar/huis-42288906-rijksstraatweg-797/,Funda,Wassenaar,True,360.0,,5750.0,,,2245 CG,2024-02-28 20:46:53.260465
Streksingel 183,https://www.funda.nl/koop/rotterdam/appartement-42262809-streksingel-183/,Funda,Rotterdam,True,103.0,,2400.0,,,3054 HG,2024-02-28 20:46:53.260465
Nootdorpse Landingslaan 154,https://www.funda.nl/huur/den-haag/huis-43499915-nootdorpse-landingslaan-154/,Funda,Den Haag,True,128.0,,2450.0,,,2496 LX,2024-02-28 20:46:53.260465
Kattenstraat 13,https://www.funda.nl/huur/maastricht/huis-43480335-kattenstraat-13/,Funda,Maastricht,True,49.0,,1295.0,,,6221 ET,2024-02-28 20:46:53.260465
Eikenlaan 1,https://www.funda.nl/koop/wassenaar/huis-42821723-eikenlaan-1/,Funda,Wassenaar,True,370.0,,8995.0,,,2245 BD,2024-02-28 20:46:53.261464
Plechelmusstraat 47,https://www.funda.nl/huur/sint-odilienberg/appartement-43498695-plechelmusstraat-47/,Funda,Sint Odiliënberg,True,103.0,,1200.0,,,6077 BJ,2024-02-28 20:46:53.261464
Neulstraat 4 a,https://www.funda.nl/huur/sint-oedenrode/appartement-43484398-neulstraat-4-a/,Funda,Sint-Oedenrode,True,125.0,,2750.0,,,5492 DC,2024-02-28 20:46:53.261464
Haparandaweg 584 +PP,https://www.funda.nl/huur/amsterdam/appartement-43488714-haparandaweg-584-pp/,Funda,Amsterdam,True,95.0,,3000.0,,,1013 BD,2024-02-28 20:46:53.261464
Beethovenlaan 8 J,https://www.funda.nl/huur/schagen/appartement-43486164-beethovenlaan-8-j/,Funda,Schagen,True,97.0,,1650.0,,,1741 HT,2024-02-28 20:46:53.262464
Groetstraat 202,https://www.funda.nl/huur/amsterdam/appartement-43476349-groetstraat-202/,Funda,Amsterdam,True,77.0,,2100.0,,,1024 VE,2024-02-28 20:46:53.262464
Mies van der Rohestraat 17,https://www.funda.nl/koop/hoofddorp/appartement-43475217-mies-van-der-rohestraat-17/,Funda,Hoofddorp,True,112.0,,3200.0,,,2132 HX,2024-02-28 20:46:53.262464
Residence Rembrandt 21,https://www.funda.nl/koop/noordwijk-zh/appartement-43462286-residence-rembrandt-21/,Funda,Noordwijk (ZH),True,115.0,,3250.0,,,2202 BP,2024-02-28 20:46:53.262464
Thomsonplein 22 a,https://www.funda.nl/huur/den-haag/appartement-43461359-thomsonplein-22-a/,Funda,Den Haag,True,179.0,,3450.0,,,2565 KV,2024-02-28 20:46:53.262464
Bridgemankade 18,https://www.funda.nl/koop/hoofddorp/appartement-43469660-bridgemankade-18/,Funda,Hoofddorp,True,117.0,,3200.0,,,2132 HR,2024-02-28 20:46:53.263464
Christiaan Eijkmanstraat 60,https://www.funda.nl/huur/berkel-en-rodenrijs/appartement-43467878-christiaan-eijkmanstraat-60/,Funda,Berkel en Rodenrijs,True,114.0,,2400.0,,,2652 JS,2024-02-28 20:46:53.263464
Verlengde Hoge Klei 32,https://www.funda.nl/huur/wassenaar/appartement-43456355-verlengde-hoge-klei-32/,Funda,Wassenaar,True,247.0,,3250.0,,,2242 NS,2024-02-28 20:46:53.922895
Paulus Buijsstraat 82,https://www.funda.nl/huur/den-haag/appartement-43455060-paulus-buijsstraat-82/,Funda,Den Haag,True,134.0,,2500.0,,,2582 CK,2024-02-28 20:46:53.922895
Herman Gorterstraat 3,https://www.funda.nl/huur/amsterdam/huis-43479930-herman-gorterstraat-3/,Funda,Amsterdam,True,226.0,,8500.0,,,1077 WD,2024-02-28 20:46:53.923897
Bloemgracht 55,https://www.funda.nl/huur/amsterdam/huis-42375390-bloemgracht-55/,Funda,Amsterdam,True,137.0,,4500.0,,,1016 KE,2024-02-28 20:46:53.923897
Pauwenstraat 2,https://www.funda.nl/huur/voorschoten/appartement-43484330-pauwenstraat-2/,Funda,Voorschoten,True,78.0,,1850.0,,,2252 VV,2024-02-28 20:46:53.923897
Tandwielstraat 561,https://www.funda.nl/huur/rotterdam/appartement-43473333-tandwielstraat-561/,Funda,Rotterdam,True,25.0,,695.0,,,3083 AV,2024-02-28 20:46:53.923897
Tandwielstraat 857,https://www.funda.nl/huur/rotterdam/appartement-43473317-tandwielstraat-857/,Funda,Rotterdam,True,24.0,,695.0,,,3083 AV,2024-02-28 20:46:53.923897
Bloemstraat 123 C,https://www.funda.nl/huur/amsterdam/appartement-43472777-bloemstraat-123-c/,Funda,Amsterdam,True,85.0,,2600.0,,,1016 KZ,2024-02-28 20:46:53.924896
Anthony Roodvoetsstraat 61,https://www.funda.nl/huur/haarlem/appartement-43463561-anthony-roodvoetsstraat-61/,Funda,Haarlem,True,92.0,,2085.0,,,2035 PW,2024-02-28 20:46:53.924896
Heerenhage 95,https://www.funda.nl/huur/heerenveen/appartement-43453504-heerenhage-95/,Funda,Heerenveen,True,73.0,,953.0,,,8446 DC,2024-02-28 20:46:53.924896
Heerenhage 116,https://www.funda.nl/huur/heerenveen/appartement-43453503-heerenhage-116/,Funda,Heerenveen,True,99.0,,1083.0,,,8446 DD,2024-02-28 20:46:53.925896
Heerenhage 61,https://www.funda.nl/huur/heerenveen/appartement-43453592-heerenhage-61/,Funda,Heerenveen,True,69.0,,911.0,,,8446 DC,2024-02-28 20:46:53.925896
Heerenhage 44,https://www.funda.nl/huur/heerenveen/appartement-43453591-heerenhage-44/,Funda,Heerenveen,True,64.0,,870.0,,,8446 DC,2024-02-28 20:46:53.925896
Johannieterhof 45,https://www.funda.nl/huur/oudewater/appartement-42344820-johannieterhof-45/,Funda,Oudewater,True,117.0,,2300.0,,,3421 DA,2024-02-28 20:46:53.926896
Helmichstraat 34 D,https://www.funda.nl/koop/huissen/appartement-42341506-helmichstraat-34-d/,Funda,Huissen,True,113.0,,1895.0,,,6851 CC,2024-02-28 20:46:53.926896
Copernicuslaan 118,https://www.funda.nl/koop/den-haag/appartement-42345532-copernicuslaan-118/,Funda,Den Haag,True,125.0,,2350.0,,,2561 VL,2024-02-28 20:46:54.290271
Swalmerstraat 59 F,https://www.funda.nl/huur/roermond/appartement-42337572-swalmerstraat-59-f/,Funda,Roermond,True,200.0,,1650.0,,,6041 CW,2024-02-28 20:46:54.290271
Tandwielstraat 1055,https://www.funda.nl/huur/rotterdam/appartement-42323775-tandwielstraat-1055/,Funda,Rotterdam,True,26.0,,755.0,,,3083 AV,2024-02-28 20:46:54.290271
Groenhazengracht 2 B,https://www.funda.nl/koop/leiden/appartement-42302241-groenhazengracht-2-b/,Funda,Leiden,True,143.0,,2800.0,,,2311 VT,2024-02-28 20:46:54.291271
Van Eeghenstraat 55 II,https://www.funda.nl/koop/amsterdam/appartement-42307888-van-eeghenstraat-55-ii/,Funda,Amsterdam,True,188.0,,6500.0,,,1071 EW,2024-02-28 20:46:54.291271
